experiment,training_regime,subject,method,seed,absolute_time,lead_time,population,finite_count,mean,sample_sd,median,p95,maximum
S2,GIFT-Lite,all trajectories,GIFT-Lite,20260821,6.5,1.5,180,180,0.04690090104416274,0.03400045637521538,0.042251823304214696,0.07132583088106992,0.45100934611749277
S2,GIFT-Lite,all trajectories,GIFT-Lite,20260821,7.0,2.0,180,180,0.05447811051462145,0.047900981746591464,0.04617054246802545,0.09151464630595336,0.5992047845753966
S2,GIFT-Lite,all trajectories,GIFT-Lite,20260821,7.5,2.5,180,180,0.06775962795629585,0.0675598818743984,0.05340233680885487,0.11684979021026114,0.7573230654005527
S2,GIFT-Lite,all trajectories,GIFT-Lite,20260821,8.0,3.0,180,180,0.0882189321486935,0.09817639519860721,0.06560157813391246,0.1779406683245346,0.8596039229237962
S2,GIFT-Lite,all trajectories,GIFT-Lite (recursive local correction disabled),20260821,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
S2,GIFT-Lite,all trajectories,GIFT-Lite (recursive local correction disabled),20260821,5.5,0.5,180,180,0.035916270272199166,0.00802191816879001,0.03534562354663599,0.05073190180096126,0.06769786516840681
S2,GIFT-Lite,all trajectories,GIFT-Lite (recursive local correction disabled),20260821,6.0,1.0,180,180,0.04066618769369431,0.011568769998470367,0.03881781431153756,0.057913865148373926,0.10991661295422324
S2,GIFT-Lite,all trajectories,GIFT-Lite (recursive local correction disabled),20260821,6.5,1.5,180,180,0.0488693726331909,0.05873674434163753,0.04225612342792326,0.0713214614236787,0.8049394021069992
S2,GIFT-Lite,all trajectories,GIFT-Lite (recursive local correction disabled),20260821,7.0,2.0,180,179,0.05143979424988969,0.025122000902564327,0.04615765775898121,0.08850152144209733,0.20661827958153892
S2,GIFT-Lite,all trajectories,GIFT-Lite (recursive local correction disabled),20260821,7.5,2.5,180,179,0.06391938999883412,0.04365493167325934,0.053292066527216485,0.11455347258957237,0.33225349708512736
S2,GIFT-Lite,all trajectories,GIFT-Lite (recursive local correction disabled),20260821,8.0,3.0,180,179,0.08923284387907605,0.1346681501378762,0.0652781442953355,0.17655921120328233,1.6675311090754141
S2,GIFT-Lite,all trajectories,GIFT-Lite,20260822,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
S2,GIFT-Lite,all trajectories,GIFT-Lite,20260822,5.5,0.5,180,180,0.03621322600492732,0.007968596691547782,0.035296084296806085,0.05002967913764944,0.06559151404115032
S2,GIFT-Lite,all trajectories,GIFT-Lite,20260822,6.0,1.0,180,180,0.0408685270463347,0.011660871082972955,0.03877978619812526,0.05783885929569019,0.10999604799050262
S2,GIFT-Lite,all trajectories,GIFT-Lite,20260822,6.5,1.5,180,180,0.04700547667636868,0.033569857794010054,0.04224730662181207,0.07116817108832019,0.4448426667367602
S2,GIFT-Lite,all trajectories,GIFT-Lite,20260822,7.0,2.0,180,180,0.05445803306576352,0.046694532137349344,0.04627384476290247,0.09191774580150566,0.5799906501453325
S2,GIFT-Lite,all trajectories,GIFT-Lite,20260822,7.5,2.5,180,180,0.06784537166479916,0.0675464616921022,0.05356100620359959,0.11679582275457705,0.7572406915563706
S2,GIFT-Lite,all trajectories,GIFT-Lite,20260822,8.0,3.0,180,180,0.08822823393359082,0.0981038738421143,0.06550452374177247,0.17845621146586466,0.8595656651096256
S2,GIFT-Lite,all trajectories,GIFT-Lite (recursive local correction disabled),20260822,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
S2,GIFT-Lite,all trajectories,GIFT-Lite (recursive local correction disabled),20260822,5.5,0.5,180,180,0.036213445492711736,0.007968638977316742,0.035296088802892006,0.050029962859019235,0.06559162013699867
S2,GIFT-Lite,all trajectories,GIFT-Lite (recursive local correction disabled),20260822,6.0,1.0,180,180,0.04086921102722501,0.011661028082571356,0.03877887348320684,0.05784095780781994,0.11000048798633229
S2,GIFT-Lite,all trajectories,GIFT-Lite (recursive local correction disabled),20260822,6.5,1.5,180,180,0.048967078347963905,0.0581879840703746,0.04224858269140756,0.07116384765882064,0.7975461928824769
S2,GIFT-Lite,all trajectories,GIFT-Lite (recursive local correction disabled),20260822,7.0,2.0,180,179,0.05152677777900048,0.025147474868220655,0.04627858038877096,0.0886786301179237,0.20687308983973873
S2,GIFT-Lite,all trajectories,GIFT-Lite (recursive local correction disabled),20260822,7.5,2.5,180,179,0.06400592814630572,0.04364904796060608,0.053409018214052105,0.11450767460320621,0.3320857864136202
S2,GIFT-Lite,all trajectories,GIFT-Lite (recursive local correction disabled),20260822,8.0,3.0,180,179,0.08910686359607305,0.1329408195895353,0.06510123364655881,0.17671532544400262,1.6412032637770138
