cohort,resolution,metric,experiment,method,seed,absolute_time,lead_time,population,finite_count,mean,sample_sd,median,p95,maximum
test_1040_1219,N128,full_relative_l2,M3,GIFT-Lite,20260821,5.1,0.0999999999999996,180,180,0.0189374176301143,0.0037033355064619,0.0186420824271786,0.0253036250244542,0.0279809530431047
test_1040_1219,N128,full_relative_l2,M3,GIFT-Lite,20260821,5.2,0.2000000000000001,180,180,0.0264288965264041,0.0051856717120131,0.0257585201333269,0.0349711553288597,0.0423335530150975
test_1040_1219,N128,full_relative_l2,M3,GIFT-Lite,20260821,5.3,0.2999999999999998,180,180,0.0300884551218311,0.0060694859007659,0.0291074130902487,0.0408540898007793,0.0513341984344716
test_1040_1219,N128,full_relative_l2,M3,GIFT-Lite,20260821,5.4,0.4000000000000003,180,180,0.0324973348592973,0.0068567567346961,0.0318081006022263,0.0445249093337211,0.0544825162555602
test_1040_1219,N128,full_relative_l2,M3,GIFT-Lite,20260821,5.5,0.5,180,180,0.0342956633137629,0.0076192120414703,0.0337595890256021,0.0480510813524127,0.0619312801343289
test_1040_1219,N128,full_relative_l2,M3,GIFT-Lite,20260821,5.6,0.5999999999999996,180,180,0.0357827831242672,0.00832422973931,0.0344468363049407,0.0507424587950011,0.066821183372626
test_1040_1219,N128,full_relative_l2,M3,GIFT-Lite,20260821,5.7,0.7000000000000002,180,180,0.0369605025785967,0.0087901323026192,0.0355135532822409,0.0543154843196175,0.0679986239715598
test_1040_1219,N128,full_relative_l2,M3,GIFT-Lite,20260821,5.8,0.7999999999999998,180,180,0.0378802868349906,0.0093136036242899,0.0363526085258472,0.0583318480510563,0.0683691896530675
test_1040_1219,N128,full_relative_l2,M3,GIFT-Lite,20260821,5.9,0.9000000000000004,180,180,0.0387302234348052,0.0100424820603399,0.0373015515114184,0.057463927943424,0.0787106560238934
test_1040_1219,N128,full_relative_l2,M3,GIFT-Lite,20260821,6.0,1.0,180,180,0.0396630004619711,0.01126125266444,0.0377817632846952,0.0572698674669972,0.1039016259788983
test_1040_1219,N128,full_relative_l2,M3,GIFT-Lite,20260822,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
test_1040_1219,N128,full_relative_l2,M3,GIFT-Lite,20260822,5.1,0.0999999999999996,180,180,0.0190179086128324,0.0037520324006461,0.0189453598686523,0.0254660720258906,0.0282450611316324
test_1040_1219,N128,full_relative_l2,M3,GIFT-Lite,20260822,5.2,0.2000000000000001,180,180,0.0265834302732555,0.0052260437545416,0.0257746535849513,0.0354830107660153,0.0412333701066918
test_1040_1219,N128,full_relative_l2,M3,GIFT-Lite,20260822,5.3,0.2999999999999998,180,180,0.0302827085321312,0.0060608556683418,0.029507285518391,0.0413297100788508,0.0487958302849206
test_1040_1219,N128,full_relative_l2,M3,GIFT-Lite,20260822,5.4,0.4000000000000003,180,180,0.0326922206621849,0.006764993263693,0.0317671117277455,0.0447662544377388,0.0529844697187034
test_1040_1219,N128,full_relative_l2,M3,GIFT-Lite,20260822,5.5,0.5,180,180,0.0345221237551294,0.0075685000433381,0.0336214840741083,0.0473610519830809,0.0610256391991256
